_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
13,13452717,Leslie St,Lawrence Ave E,13,13,13,LESLIE ST,LAWRENCE AVE E,6015,0400,Leslie St And Lawrence Ave E,None,LESLIE ST,LAWRENCE AVE E,None,None,None,North York,Don Valley West(15),Don Valley East(16),None,None,33,None,None,2008-05-29T00:00:00,"{""coordinates"": [[-79.3559789975746, 43.7345350020512]], ""type"": ""MultiPoint""}"
14,13449822,Leslie St,York Mills Rd,14,14,14,LESLIE ST,YORK MILLS RD,6016,0755,Leslie St And York Mills Rd,None,LESLIE ST,YORK MILLS RD,None,None,None,North York,Don Valley West(15),Don Valley East(16),None,None,33,None,None,2009-08-05T00:00:00,"{""coordinates"": [[-79.3599699911438, 43.7529540024844]], ""type"": ""MultiPoint""}"
15,13448765,Bayview Ave,Truman Rd,15,15,15,BAYVIEW AVE,TRUMAN RD,6017,1083,Bayview Ave And Truman Rd / Fifeshire Rd,None,BAYVIEW AVE,TRUMAN RD,FIFESHIRE RD,None,None,North York,Don Valley West(15),None,None,None,33,32,None,2008-03-31T00:00:00,"{""coordinates"": [[-79.3866350029291, 43.7605860032119]], ""type"": ""MultiPoint""}"
16,14038170,Midland Ave,McNicoll Ave,16,16,16,MIDLAND AVE,MCNICOLL AVE,6018,1540,Midland Ave And Mcnicoll Ave,None,MIDLAND AVE,MCNICOLL AVE,None,None,None,Scarborough,Scarborough-Agincourt(22),Scarborough North(23),None,None,42,None,None,2008-10-09T00:00:00,"{""coordinates"": [[-79.2922180081124, 43.8145780077135]], ""type"": ""MultiPoint""}"
17,13441903,Steeles Ave E,Birchmount Rd,17,17,17,STEELES AVE E,BIRCHMOUNT RD,6019,1363,Steeles Ave E And Birchmount Rd,None,STEELES AVE E,BIRCHMOUNT RD,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2009-03-17T00:00:00,"{""coordinates"": [[-79.3169249962472, 43.8213920039946]], ""type"": ""MultiPoint""}"
18,13446799,Warden Ave,Arkona Dr,18,18,18,WARDEN AVE,ARKONA DR,6020,0927,Warden Ave And Arkona Dr / Cloverleaf Gt,None,WARDEN AVE,ARKONA DR,CLOVERLEAF GT,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2008-08-11T00:00:00,"{""coordinates"": [[-79.3053560099501, 43.7730890055368]], ""type"": ""MultiPoint""}"
19,13441677,Steeles Ave E,Brimley Rd,19,19,19,STEELES AVE E,BRIMLEY RD,6021,1491,Steeles Ave E And Brimley Rd,None,STEELES AVE E,BRIMLEY RD,None,None,None,Scarborough,Scarborough North(23),None,None,None,42,None,None,2008-05-29T00:00:00,"{""coordinates"": [[-79.2872019971675, 43.8282939976019]], ""type"": ""MultiPoint""}"
20,13465757,College St,Bathurst St,20,20,20,COLLEGE ST,BATHURST ST,6022,0300,College St And Bathurst St,None,COLLEGE ST,BATHURST ST,None,None,None,Toronto and East York,University-Rosedale(11),None,None,None,14,None,None,2008-08-11T00:00:00,"{""coordinates"": [[-79.4077219983493, 43.656481004806]], ""type"": ""MultiPoint""}"
21,13447211,Morningside Ave,Lawrence Ave E,21,21,21,MORNINGSIDE AVE,LAWRENCE AVE E,6023,0499,Morningside Ave And Lawrence Ave E,None,MORNINGSIDE AVE,LAWRENCE AVE E,None,None,None,Scarborough,Scarborough-Guildwood(24),Scarborough-Rouge Park(25),None,None,43,None,None,2008-08-11T00:00:00,"{""coordinates"": [[-79.1862250063822, 43.768408003812]], ""type"": ""MultiPoint""}"
22,13461025,Dixon Rd,Carlingview Dr,22,22,22,DIXON RD,CARLINGVIEW DR,6024,0536,Dixon Rd And Carlingview Dr,None,DIXON RD,CARLINGVIEW DR,None,None,None,Etobicoke York,Etobicoke North(1),None,None,None,23,None,None,2009-03-19T00:00:00,"{""coordinates"": [[-79.5955659976761, 43.6867570035774]], ""type"": ""MultiPoint""}"
